Datum/Uhrzeit;Preis;Bezeichnung;Menge;Zahlung;Bonnr.;
11.07.2025 18:09:02;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05225;
11.07.2025 18:16:44;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05226;
11.07.2025 18:16:44;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05226;
11.07.2025 18:41:55;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05227;
11.07.2025 18:41:55;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05227;
11.07.2025 18:41:55;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05227;
11.07.2025 18:41:55;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05227;
11.07.2025 18:41:55;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05227;
11.07.2025 18:41:55;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05227;
11.07.2025 18:43:05;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05228;
11.07.2025 19:27:59;-3.996,50;Entnahme: Entnahme;1;Bar;05229;
